Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
Kepler GK110-430-B1 (x2) ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX Titan Z Palit 12GB Edition,0,4.5,2014-05-28,1,5.0,672.0,384.0,1750.0,4096.0,2160.0
Kepler GK110B ,1.0,11.0,0.0,,Nvidia,GDDR5,GeForce GTX Titan Z EVGA Superclocked 12GB Edition,0,4.4,2014-05-28,1,5.0,672.0,384.0,1750.0,4096.0,2160.0
Kepler GK110-430-B1 (x2) ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX Titan Z,0,4.5,2014-05-28,1,5.0,672.0,384.0,1750.0,4096.0,2160.0
Kepler GK110B ,1.0,11.0,0.0,,Nvidia,GDDR5,GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition,0,4.4,2014-05-28,1,5.0,672.0,384.0,1750.0,4096.0,2160.0
Maxwell GM200-400-A1 ,1.0,12.1,0.0,3072.0,Nvidia,GDDR5,GeForce GTX Titan X EVGA Hybrid 12GB Edition,0,4.5,2015-03-17,1,5.0,336.6,384.0,1753.0,4096.0,2160.0
Maxwell GM200-400-A1 (x2) ,1.0,12.1,0.0,,Nvidia,GDDR5,GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI,0,4.5,2015-03-17,1,5.0,673.2,384.0,1753.0,4096.0,2160.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Zotac AMP! Edition,0,4.5,2013-04-01,1,5.0,317.2,384.0,1652.0,4096.0,2160.0
Maxwell GM200-400-A1 (x2) ,1.0,12.1,0.0,,Nvidia,GDDR5,GeForce GTX Titan X SLI,0,4.5,2015-03-17,1,5.0,673.2,384.0,1753.0,4096.0,2160.0
Maxwell GM200-400-A1 ,1.0,12.1,0.0,3072.0,Nvidia,GDDR5,GeForce GTX Titan X,0,4.5,2015-03-17,1,5.0,336.6,384.0,1753.0,4096.0,2160.0
Maxwell GM200-400-A1 ,1.0,12.1,0.0,3072.0,Nvidia,GDDR5,GeForce GTX Titan X EVGA Superclocked 12GB Edition,0,4.5,2015-03-17,1,5.0,336.6,384.0,1753.0,4096.0,2160.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan WindForce 3X OC Edition,0,4.5,2013-05-15,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Kepler GK110-400-A1 (x2) ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX Titan SLI,0,4.5,2013-02-19,1,5.0,576.8,384.0,1502.0,4096.0,2160.0
Pascal P100 ,1.0,12.1,0.0,3072.0,Nvidia,HBM-2,GeForce GTX Titan P 12GB [not released],0,4.5,2016-08-17,1,5.0,384.0,3072.0,500.0,7680.0,4320.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Inno3D Edition,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Pascal P100 ,1.0,12.1,0.0,3072.0,Nvidia,HBM-2,GeForce GTX Titan P 16GB [not released],0,4.5,2016-08-17,1,5.0,512.0,4096.0,500.0,7680.0,4320.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Gigabyte Edition,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan iChill Accelero Hybrid Edition,0,4.5,2013-03-15,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Asus Edition,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Kepler GK110-430-B1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Black Edition,0,4.5,2014-02-18,1,5.0,336.0,384.0,1750.0,4096.0,2160.0
,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 8670D + 6670 Dual,0,4.2,2013-03-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan EVGA Edition,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
Terrascale 2 ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7660D + 6670 Dual,0,4.2,2012-06-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
Terascale 3 ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7560D + 7670 Dual,0,4.2,2012-05-01,0,5.0,,128.0,,2560.0,1600.0
Terrascale 2 ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7560D + 6570 Dual,0,4.2,2012-07-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
Terrascale 3 ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7660D + 7670 Dual,0,4.2,2012-06-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
R200 ,1.0,8.1,0.0,0.0,AMD,DDR,Radeon 8500 Series 64MB,0,1.4,2001-01-02,0,1.4,8.8,128.0,550.0,2048.0,1536.0
R360 ,1.0,9.0,0.0,0.0,AMD,DDR2,Radeon 9800 Pro,0,2.0,2003-03-01,0,2.0,44.8,256.0,700.0,2048.0,1536.0
RV360 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9600 PRO PC/Mac Edition,0,2.0,2005-08-01,0,2.0,4.8,128.0,300.0,2048.0,1536.0
RV350 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9550,0,2.0,2004-01-02,0,2.0,3.2,128.0,200.0,2048.0,1536.0
RV360 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9600 PRO,0,2.0,2003-10-01,0,2.0,4.8,128.0,300.0,2048.0,1536.0
R300 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9500 Pro,0,2.0,2002-10-24,0,2.0,4.3,128.0,270.0,2048.0,1536.0
R300 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9500,0,2.0,2002-10-24,0,2.0,4.3,128.0,270.0,2048.0,1536.0
RV350 ,1.0,9.0,0.0,0.0,AMD,DDR,Radeon 9600 Series,0,2.0,2003-01-02,0,2.0,6.4,128.0,400.0,2048.0,1536.0
RV280 ,1.0,8.1,0.0,0.0,AMD,DDR,Radeon 9250,0,1.4,2004-01-02,0,1.4,3.2,128.0,200.0,2048.0,1536.0
RV280 ,1.0,8.1,0.0,0.0,AMD,DDR,Radeon 9200 Series,0,1.4,2003-04-01,0,1.4,3.2,128.0,200.0,2048.0,1536.0
R200 ,1.0,8.1,0.0,0.0,AMD,DDR,Radeon 9100,0,1.4,2003-04-01,0,1.4,4.0,128.0,250.0,,
,1.0,10.1,0.0,0.0,AMD,GDDR4,FireGL V7700,0,2.1,2008-01-01,0,4.0,72.0,256.0,1125.0,2560.0,1600.0
,1.0,,0.0,0.0,AMD,GDDR3,FireGL V7350,0,2.0,2006-03-20,0,3.0,41.6,256.0,650.0,3840.0,2400.0
,1.0,,0.0,0.0,AMD,GDDR3,FireGL V7100,0,2.0,2004-06-01,0,3.0,28.8,256.0,450.0,2048.0,1536.0
RV250 ,1.0,8.1,0.0,0.0,AMD,DDR,Radeon 9000 Series 64MB,0,1.4,2002-08-01,0,1.4,8.0,128.0,500.0,2048.0,1536.0
,1.0,10.0,0.0,0.0,AMD,GDDR4,FireGL V8600,0,2.1,2007-01-01,0,4.0,111.1,512.0,868.0,2560.0,1600.0
,1.0,10.0,0.0,0.0,AMD,GDDR4,FireGL V5600,0,2.1,2007-01-01,0,4.0,35.2,128.0,1100.0,2048.0,1536.0
,1.0,,0.0,0.0,AMD,GDDR3,FireGL V7200,0,2.0,2006-04-24,0,3.0,41.6,256.0,650.0,2048.0,1536.0
,1.0,10.0,0.0,0.0,AMD,GDDR3,FireGL V7600,0,2.1,2007-01-01,0,4.0,51.2,256.0,800.0,2560.0,1600.0
,1.0,9.0,0.0,0.0,AMD,DDR,FireGL Z1,0,2.0,2002-11-21,0,,9.9,256.0,310.0,2048.0,1536.0
,1.0,,0.0,0.0,AMD,DDR,FireGL V5100,0,2.0,2005-01-01,0,3.0,11.2,256.0,350.0,2048.0,1536.0
