Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 MSI Power Edition 2GB OC,0,4.4,2012-05-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 MSI OC 1GB Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 PowerColor PCS+ 2GB Edition,0,4.4,2012-05-01,1,5.0,156.8,256.0,1225.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 HIS IceQ X Turbo X Edition,0,4.4,2012-03-01,1,5.0,160.0,256.0,1250.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Gigabyte OC Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 MSI OC 2GB Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Gigabyte OC 1GB Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 HIS Fan 2GB Edition,0,4.4,2012-03-06,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Club3D royalQueen Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Direct CU II TOP,0,4.4,2012-06-01,1,5.0,160.0,256.0,1250.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Club3D royalAce Edition,0,4.4,2012-09-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO (x2) ,1.0,12.0,0.0,,AMD,GDDR5,Radeon HD 7850 Crossfire,0,4.4,2012-03-01,1,5.0,307.2,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Direct CU II,0,4.4,2012-06-01,1,5.0,154.9,256.0,1210.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Club3D royalQueen 1GB Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 Club3D royalKing Edition,0,4.4,2012-02-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 2GB PowerColor v2 Edition,0,4.4,2012-05-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 2GB Sapphire Edition,0,4.4,2012-08-01,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850 1GB Sapphire Edition,0,4.4,2012-08-01,1,5.0,160.0,256.0,1250.0,4096.0,2160.0
GCN 1.0 Pitcairn PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7850,0,4.4,2012-03-19,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 VTX3D X-Edition,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 VTX3D X-Edition v2,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 MSI 1GB OC Edition,0,4.2,2013-03-22,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 VTX3D VChamp Edition,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 Gigabyte 2GB OC Edition,0,4.2,2013-03-22,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 Sapphire OC Edition,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 PowerColor TurboDuo Edition,0,4.2,2013-03-01,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 Sapphire Dual-X OC Edition,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 DirectCU II OC 2GB Edition,0,4.2,2013-03-22,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 Gigabyte 1GB OC Edition,0,4.2,2013-03-22,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 DirectCU II OC Edition,0,4.2,2013-03-22,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 XFX Double Dissipation 1GB Edition,0,4.4,2012-03-31,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 XFX Ultra OC Edition,0,4.4,2012-05-01,1,5.0,79.7,128.0,1245.0,4096.0,2160.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790,0,4.2,2013-03-22,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 XFX Core 1GB Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Bonaire XT (x2) ,1.0,12.0,0.0,,AMD,GDDR5,Radeon HD 7790 Crossfire,0,4.4,2013-03-22,1,5.0,192.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Sapphire GHz OC Edition,0,4.4,2012-02-16,1,5.0,80.0,128.0,1250.0,4096.0,2160.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 7790 Club3D 13 Series Edition,0,4.2,2013-03-01,1,5.0,102.4,128.0,1600.0,2560.0,1600.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 VTX3D X-Edition,0,4.4,2012-06-01,1,5.0,80.0,128.0,1250.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Vapor-X GHz OC Edition,0,4.4,2012-08-01,1,5.0,83.2,128.0,1300.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Sapphire Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 MSI Power Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Sapphire Flex GHz Edition,0,4.4,2012-08-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 PowerColor GHz Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 MSI PMD1 Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 PowerColor PCS+ Edition,0,4.4,2012-03-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 iCooler 1GB Edition,0,4.4,2012-04-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 MSI 2PM OC Edition,0,4.4,2012-01-02,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Gigabyte OC rev. 2.0 Edition,0,4.4,2012-12-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Gigabyte OC Edition,0,4.4,2012-06-01,1,5.0,80.0,128.0,1250.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Direct CU II TOP Edition,0,4.4,2012-06-01,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 DirectCU II V2 Edition,0,4.4,2012-06-01,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Ghost Thermal Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 BE Super Overclock Edition,0,4.4,2012-02-01,1,5.0,83.2,128.0,1300.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 Asus GHz Edition,0,4.4,2012-06-01,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 2GB GHz Edition,0,4.4,2012-02-15,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 XFX Core Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT (x2) ,1.0,12.0,0.0,,AMD,GDDR5,Radeon HD 7770 Crossfire,0,4.4,2012-02-01,1,5.0,144.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 VTX3D 1GB GDDR5 Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7750 Sapphire 2GB DDR3 Edition,0,4.4,2012-08-01,1,5.0,25.6,128.0,800.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Sapphire Low Profile,0,4.4,2012-08-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Sapphire Ultimate,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7770 1GB GDDR5,0,4.4,2012-02-15,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Sapphire 1GB GDDR5 Edition,0,4.4,2012-08-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7750 VTX3D 1GB DDR3 Edition,0,4.4,2012-10-01,1,5.0,25.6,128.0,800.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 PowerColor 1GB Edition,0,4.4,2012-05-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7750 PowerColor 4GB DDR3 Edition,0,4.4,2012-12-12,1,5.0,25.6,128.0,800.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 MSI PMD1 OC Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7750 MSI PMD 2GB DDR3 Edition,0,4.4,2012-08-01,1,5.0,25.6,128.0,800.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 MSI OC Power Edition,0,4.4,2012-05-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 HIS iCooler Dual Fan 1GB Edition,0,4.4,2012-02-15,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 MSI OC Edition,0,4.4,2012-08-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Gigabyte 1GB OC Edition,0,4.4,2012-02-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7750 Gigabyte OC 2GB DDR3 Edition,0,4.4,2012-10-01,1,5.0,25.6,128.0,800.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Club3D Low Profile Edition,0,4.4,2012-08-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO (x2) ,1.0,12.0,0.0,,AMD,GDDR5,Radeon HD 7750 Crossfire,0,4.4,2012-02-01,1,5.0,144.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 1GB GDDR5,0,4.4,2012-02-15,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Double D Black Edition,0,4.4,2012-06-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7730 v2 Sapphire 1GB Edition,0,4.4,2013-05-10,1,5.0,28.8,128.0,900.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Asus 1GB Edition,0,4.4,2012-02-01,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7730 v2 XFX Core 4GB Edition,0,4.4,2013-07-11,0,5.0,20.8,128.0,650.0,4096.0,2160.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7730 v2 Sapphire 2GB Edition,0,4.4,2013-05-10,1,5.0,28.8,128.0,900.0,4096.0,2160.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7730 v2 PowerColor 2GB Edition,0,4.4,2013-07-24,1,5.0,25.6,128.0,800.0,4096.0,2160.0
Terascale 2 Barts LE ,1.0,11.0,0.0,512.0,AMD,GDDR5,Radeon HD 7720,0,4.3,2013-03-31,1,5.0,134.4,256.0,1050.0,2560.0,1600.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 7730 v2,0,4.4,2013-05-01,1,5.0,28.8,128.0,900.0,4096.0,2160.0
Turks XT ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7650A,0,4.1,2012-01-01,1,5.0,28.8,128.0,900.0,2560.0,1600.0
Turks XT ,1.0,11.0,0.0,0.0,AMD,GDDR5,Radeon HD 7670A,0,4.1,2012-01-01,1,5.0,64.0,128.0,1000.0,2560.0,1600.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7750 Asus TOP 1GB Edition,0,4.4,2012-02-01,1,5.0,73.6,128.0,1150.0,4096.0,2160.0
GCN 1.0 Cape Verde LE ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 7730,0,4.4,2013-05-01,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
Terascale 2 Turks XT ,1.0,11.0,0.0,256.0,AMD,DDR3,Radeon HD 7670 v2,0,4.3,2012-01-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Terascale 2 Turks PRO ,1.0,11.0,0.0,256.0,AMD,GDDR5,Radeon HD 7570,0,4.3,2012-01-05,1,5.0,51.2,128.0,800.0,2560.0,1600.0
Terascale 2 Turks XT ,1.0,11.0,0.0,256.0,AMD,GDDR5,Radeon HD 7670,0,4.3,2012-01-05,1,5.0,64.0,128.0,1000.0,2560.0,1600.0
Terascale 2 Turks PRO-L ,1.0,11.0,0.0,256.0,AMD,DDR3,Radeon HD 7570 v2 Pegatron 1GB Edition,0,4.3,2012-01-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Terascale 2 Turks PRO-L ,1.0,11.0,0.0,256.0,AMD,DDR3,Radeon HD 7570 v2,0,4.3,2012-01-05,0,5.0,28.8,128.0,900.0,2560.0,1600.0
Terascale 2 Caicos XT ,1.0,11.0,0.0,128.0,AMD,GDDR5,Radeon HD 7470,0,4.3,2012-01-05,0,5.0,28.8,64.0,900.0,2560.0,1600.0
Redwood ,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 7470A,0,4.1,2012-01-01,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Terascale Cedar PRO ,1.0,11.0,0.0,128.0,AMD,GDDR3,Radeon HD 7350,0,4.3,2012-01-05,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Caicos ,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 7450A,0,4.1,2012-01-01,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Terascale 2 Caicos PRO ,1.0,11.0,0.0,128.0,AMD,GDDR3,Radeon HD 7450,0,4.3,2012-01-05,0,5.0,8.5,64.0,533.0,2560.0,1600.0
GCN 1.1 Curacao PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 8860 (OEM),0,4.4,2013-01-08,1,5.0,179.2,256.0,1400.0,4096.0,2160.0
GCN 1.0 Pitcairn XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 8870 (OEM),0,4.4,2013-01-08,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
GCN 1.0 Bonaire XT ,1.0,11.1,0.0,512.0,AMD,GDDR5,Radeon HD 8770 (OEM),0,4.2,2013-09-02,1,5.0,96.0,128.0,1500.0,2560.0,1600.0
GCN 1.0 Tahiti XT ,1.0,12.0,0.0,768.0,AMD,GDDR5,Radeon HD 8970 (OEM),0,4.4,2013-01-08,1,5.0,264.0,384.0,1375.0,4096.0,2160.0
GCN 1.1 Tahiti PRO2 ,1.0,11.2,0.0,768.0,AMD,GDDR5,Radeon HD 8950 (OEM),0,4.2,2013-01-08,1,5.0,240.0,384.0,1250.0,4096.0,2160.0
GCN 1.0 Cape Verde PRO ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 8740 (OEM),0,4.4,2013-09-05,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.0 Cape Verde XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 8760 (OEM),0,4.4,2013-01-08,1,5.0,72.0,128.0,1125.0,4096.0,2160.0
GCN 1.1 Oland XT ,1.0,12.0,0.0,512.0,AMD,GDDR5,Radeon HD 8670 (OEM),0,4.4,2013-01-08,1,5.0,73.6,128.0,1150.0,2560.0,1600.0
Terascale 2 Caicos PRO ,1.0,11.0,0.0,128.0,AMD,DDR3,Radeon HD 8450 (OEM),0,4.3,2013-01-08,0,5.0,8.5,64.0,533.0,2560.0,1600.0
Terascale 2 Caicos XT ,1.0,11.0,0.0,128.0,AMD,GDDR5,Radeon HD 8470 (OEM),0,4.3,2013-01-08,0,5.0,28.8,64.0,900.0,2560.0,1600.0
Terascale Cedar PRO ,1.0,11.0,0.0,128.0,AMD,DDR3,Radeon HD 8350 (OEM),0,4.3,2013-01-08,0,5.0,12.8,64.0,800.0,2560.0,1600.0
GCN 1.1 Oland PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,Radeon HD 8570 (OEM),0,4.4,2013-01-08,0,5.0,28.8,128.0,900.0,4096.0,2160.0
NV40/NV41 ,1.0,,0.0,0.0,Nvidia,DDR,GeForce 6800 XT,0,1.5,2005-01-02,1,3.0,11.2,256.0,350.0,2560.0,1600.0
NV40/NV45 ,1.0,,0.0,0.0,Nvidia,GDDR3,GeForce 6800 Ultra,0,1.5,2005-03-01,1,3.0,35.2,256.0,550.0,2560.0,1600.0
NV38 ,1.0,,0.0,0.0,Nvidia,DDR,GeForce FX 5950 Ultra,0,1.5,2003-10-23,0,2.0,15.2,256.0,475.0,2048.0,1536.0
NV28 ,1.0,8.1,0.0,0.0,Nvidia,DDR,GeForce4 Ti 4800,0,1.3,2003-01-20,0,1.3,5.1,128.0,320.0,,
NV10 ,1.0,7.0,0.0,0.0,Nvidia,DDR,GeForce 256,0,1.0,1999-08-31,0,,2.7,128.0,166.0,,
NV35 ,1.0,,0.0,0.0,Nvidia,DDR,GeForce FX 5900XT,0,1.5,2003-12-01,0,2.0,11.2,256.0,350.0,2048.0,1536.0
NV40/NV41 ,1.0,,0.0,0.0,Nvidia,DDR,GeForce 6800 Series 128MB,0,1.5,2004-04-01,0,3.0,11.2,256.0,350.0,2560.0,1600.0
Fermi GF119-300-A1 ,1.0,12.0,0.0,128.0,Nvidia,DDR3,GeForce GT 705,0,4.5,2014-03-27,0,5.0,13.2,64.0,825.0,4096.0,2160.0
NV28 ,1.0,8.1,0.0,0.0,Nvidia,DDR,GeForce4 Ti 4800 SE,0,1.3,2003-01-20,0,1.3,4.4,128.0,275.0,,
Fermi GF110 ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX 590 Zotac Edition,0,4.5,2011-03-01,1,5.0,327.9,384.0,854.0,2560.0,1600.0
Tesla G200-400-B3 (x2) ,1.0,10.0,0.0,,Nvidia,GDDR3,GeForce GTX 295 EVGA CO-OP 1792MB Edition,0,3.3,2009-06-15,1,4.0,225.8,448.0,1008.0,2560.0,1600.0
Fermi GF100-375-A3 (x2) ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX 480 SLI,0,4.5,2010-03-01,1,5.0,354.8,384.0,924.0,2560.0,1600.0
NV20 ,1.0,8.1,0.0,0.0,Nvidia,DDR,GeForce 3 Ti 500,0,1.3,2001-10-01,0,1.1,4.0,128.0,250.0,,
G92b ,1.0,10.0,0.0,0.0,Nvidia,DDR2,GeForce GT 330,0,3.2,2010-02-01,0,4.1,16.3,128.0,510.0,2560.0,1600.0
Tesla G200-400-B3 (x2) ,1.0,10.0,0.0,,Nvidia,GDDR3,GeForce GTX 295 EVGA CO-OP Hydro Copper 1792MB Edition,0,3.3,2009-06-15,1,4.0,235.9,448.0,1053.0,2560.0,1600.0
GT215 ,1.0,10.1,0.0,0.0,Nvidia,GDDR5,GeForce GT 340,0,3.2,2010-02-01,0,4.1,54.4,128.0,850.0,2560.0,1600.0
Kepler GK104-355-A2 (x2) ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX 690 SLI,0,4.5,2012-05-03,1,5.0,769.0,512.0,1502.0,4096.0,2160.0
GT218 ,1.0,10.1,0.0,0.0,Nvidia,DDR2,GeForce 310 512MB,0,3.1,2009-11-01,0,4.1,6.4,64.0,400.0,2560.0,1600.0
GT216 ,1.0,10.1,0.0,0.0,Nvidia,DDR3,GeForce 315 512MB,0,3.2,2010-02-01,0,4.1,12.6,64.0,790.0,2560.0,1600.0
GT215 ,1.0,10.1,0.0,0.0,Nvidia,GDDR3,GeForce GT 320,0,3.2,2010-02-01,1,4.1,25.3,128.0,790.0,2560.0,1600.0
Kepler GK104-400-A2 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,GeForce GTX 680 Zotac 4GB Edition,0,4.5,2012-05-01,1,5.0,192.3,256.0,1502.0,4096.0,2160.0
Kepler GK104-355-A2 ,1.0,12.0,0.0,,Nvidia,GDDR5,GeForce GTX 690,0,4.5,2012-05-03,1,5.0,384.0,256.0,1500.0,4096.0,2160.0
Kepler GK104-355-A2 ,1.0,12.0,0.0,1024.0,Nvidia,GDDR5,GeForce GTX 690 Asus 4GB Edition,0,4.5,2012-05-01,1,5.0,384.5,512.0,1502.0,4096.0,2160.0
Maxwell GM204-400-A1 ,1.0,12.1,0.0,2048.0,Nvidia,GDDR5,GeForce GTX 980 Zotac AMP! Omega Core 4GB Edition,0,4.5,2015-07-01,1,5.0,225.5,256.0,1762.0,5120.0,3200.0
